ID,Segmentation
458989,2
458994,3
459000,3
459003,3
459005,1
459008,3
459013,3
459014,4
459015,4
459016,4
459024,3
459026,4
459032,4
459033,3
459036,1
459039,3
459041,2
459045,2
459058,1
459061,1
459064,4
459074,3
459077,2
459080,1
459090,1
459091,2
459100,2
459106,2
459114,3
459116,2
459117,2
459119,3
459120,4
459121,3
459123,3
459130,1
459132,4
459136,3
459140,4
459143,2
459150,1
459160,2
459161,3
459162,3
459163,1
459167,3
459170,2
459171,2
459172,4
459175,3
459181,2
459182,2
459184,1
459185,1
459193,1
459194,3
459196,4
459208,3
459209,4
459210,3
459212,3
459213,1
459216,3
459220,2
459222,3
459223,3
459224,3
459227,4
459229,2
459236,2
459237,1
459244,1
459247,2
459263,4
459264,2
459266,4
459270,2
459284,3
459287,4
459288,3
459289,1
459290,2
459292,1
459296,3
459307,4
459310,1
459316,1
459318,1
459320,4
459322,4
459339,1
459344,3
459347,2
459349,3
459352,2
459353,3
459362,1
459363,3
459364,2
459375,1
459377,3
459383,1
459384,3
459385,2
459386,2
459391,3
459394,1
459397,3
459405,1
459407,4
459409,1
459410,2
459415,4
459418,3
459419,2
459420,3
459421,4
459423,4
459428,4
459432,1
459436,2
459439,3
459445,3
459447,2
459451,2
459459,2
459461,1
459466,3
459467,3
459480,1
459481,1
459482,4
459497,2
459503,2
459509,4
459512,2
459515,2
459535,3
459536,4
459538,1
459541,3
459549,4
459555,1
459558,1
459564,4
459566,3
459567,3
459571,2
459579,3
459583,3
459585,3
459587,1
459588,2
459591,3
459592,3
459594,1
459597,3
459603,2
459607,1
459617,3
459618,3
459625,2
459626,4
459632,4
459644,1
459658,3
459664,2
459665,1
459672,3
459673,4
459678,4
459686,2
459692,3
459701,2
459711,2
459715,4
459718,2
459725,2
459740,4
459742,2
459745,1
459747,3
459748,3
459756,4
459760,4
459767,4
459779,2
459780,1
459795,2
459801,4
459804,3
459806,1
459815,1
459822,1
459825,4
459832,2
459845,4
459851,1
459853,4
459856,3
459857,1
459861,1
459867,3
459869,4
459871,1
459886,1
459889,3
459897,2
459909,3
459910,2
459911,4
459914,4
459923,4
459925,4
459937,2
459943,2
459945,3
459946,3
459949,1
459953,2
459961,3
459962,2
459966,1
459968,1
459970,1
459973,3
459974,1
459975,3
459981,4
459986,1
459995,1
459996,1
459998,2
460004,2
460006,4
460014,4
460023,1
460040,2
460045,2
460046,2
460050,1
460051,1
460052,4
460058,1
460061,4
460066,4
460068,2
460073,2
460079,1
460081,1
460090,1
460093,2
460095,3
460101,4
460103,1
460105,2
460107,3
460108,3
460109,3
460112,1
460118,3
460119,4
460122,2
460124,3
460134,4
460135,4
460140,3
460141,2
460146,1
460147,3
460160,4
460162,4
460166,4
460167,2
460168,3
460171,2
460174,3
460175,3
460177,2
460179,2
460183,4
460185,4
460187,2
460189,4
460190,4
460196,4
460206,2
460212,4
460214,3
460223,1
460227,3
460242,4
460243,1
460248,4
460252,2
460263,1
460265,3
460270,1
460272,4
460275,3
460276,3
460281,4
460283,1
460284,1
460287,1
460289,3
460298,1
460306,4
460310,4
460315,4
460319,4
460323,1
460324,1
460327,2
460333,1
460336,4
460340,1
460341,4
460344,1
460348,3
460354,1
460356,4
460358,4
460361,2
460362,4
460365,2
460370,4
460371,4
460378,1
460379,1
460380,4
460381,1
460384,4
460387,1
460388,2
460389,4
460390,1
460392,1
460394,4
460397,1
460399,4
460401,1
460404,1
460405,4
460406,4
460408,2
460409,3
460415,1
460431,4
460437,2
460440,1
460443,1
460449,4
460450,2
460453,1
460459,4
460460,4
460477,4
460484,4
460485,4
460489,4
460495,4
460505,3
460507,4
460508,4
460518,3
460541,2
460545,1
460546,3
460549,1
460550,3
460551,3
460555,3
460561,3
460563,3
460571,4
460572,1
460574,1
460582,1
460583,4
460585,1
460586,1
460588,4
460597,4
460598,1
460605,1
460612,4
460621,1
460622,3
460626,4
460638,1
460645,3
460653,4
460656,1
460658,2
460661,4
460678,1
460687,3
460691,4
460702,3
460703,4
460706,4
460708,3
460716,2
460720,3
460722,1
460726,3
460727,2
460729,1
460733,4
460740,3
460743,3
460746,4
460763,2
460769,4
460780,1
460783,1
460785,4
460789,4
460794,4
460796,3
460802,2
460811,1
460813,1
460815,3
460822,1
460825,4
460828,1
460830,2
460831,4
460837,1
460840,3
460846,4
460847,1
460851,2
460857,1
460860,3
460861,4
460866,4
460872,2
460877,3
460878,3
460882,4
460888,1
460891,3
460897,4
460898,3
460901,4
460902,1
460905,1
460906,1
460907,1
460923,3
460924,4
460928,3
460934,4
460935,4
460945,4
460953,4
460961,4
460962,3
460963,3
460968,1
460976,4
460977,2
460979,4
460981,1
460984,2
460988,2
460989,4
460991,4
460993,3
460999,3
461000,1
461015,1
461016,4
461022,1
461024,1
461028,4
461029,4
461034,4
461038,1
461041,1
461043,4
461044,4
461049,2
461059,4
461060,3
461071,2
461078,4
461082,4
461085,1
461093,3
461099,4
461111,1
461114,3
461116,4
461119,4
461121,4
461124,4
461127,4
461128,4
461129,2
461145,1
461154,4
461162,4
461163,2
461168,4
461169,4
461177,2
461178,4
461179,4
461183,4
461187,4
461197,4
461211,1
461214,3
461215,1
461218,4
461220,4
461221,2
461225,4
461236,4
461237,4
461241,3
461242,4
461243,4
461248,4
461252,2
461256,4
461257,3
461258,3
461262,1
461263,2
461265,4
461269,4
461276,4
461277,1
461281,4
461286,4
461289,4
461297,2
461299,2
461303,4
461308,4
461309,4
461314,3
461319,3
461320,1
461322,3
461323,3
461324,3
461326,1
461335,3
461340,3
461346,2
461348,4
461350,2
461352,4
461356,4
461357,4
461363,2
461366,4
461370,4
461378,2
461383,2
461397,4
461402,3
461408,4
461423,4
461426,3
461428,2
461432,3
461437,3
461439,3
461441,3
461442,3
461454,2
461456,4
461457,1
461458,4
461462,4
461465,3
461466,1
461469,3
461476,3
461479,3
461480,3
461482,3
461494,4
461501,2
461503,2
461510,3
461514,2
461516,1
461518,3
461521,2
461522,4
461525,1
461526,4
461530,2
461534,2
461546,3
461548,4
461553,1
461556,1
461558,3
461564,3
461570,2
461574,3
461587,4
461593,3
461604,2
461612,3
461615,2
461617,1
461626,3
461630,3
461637,3
461644,2
461653,3
461655,4
461658,3
461659,3
461661,3
461663,4
461668,3
461671,4
461674,3
461676,1
461679,4
461681,4
461683,2
461685,4
461686,2
461690,1
461694,4
461695,3
461698,3
461701,2
461705,3
461708,1
461709,2
461711,1
461716,3
461720,2
461722,4
461724,1
461725,1
461727,3
461737,2
461744,2
461747,2
461749,4
461752,3
461756,3
461760,3
461769,2
461771,1
461775,1
461778,3
461780,1
461784,3
461788,2
461791,4
461792,4
461800,2
461801,2
461802,1
461804,1
461807,4
461815,2
461816,1
461821,4
461822,3
461824,4
461837,3
461845,3
461846,2
461848,4
461858,4
461859,3
461860,1
461862,2
461864,4
461872,2
461873,3
461874,3
461882,3
461892,4
461896,3
461898,3
461899,4
461901,4
461913,1
461921,2
461927,2
461929,4
461930,2
461936,3
461941,2
461943,2
461962,2
461963,2
461965,4
461967,3
461968,1
461978,4
461988,2
461993,4
461994,4
461996,3
461999,2
462007,3
462011,4
462013,2
462015,1
462016,3
462017,1
462027,1
462029,1
462033,1
462038,1
462043,2
462044,1
462048,4
462052,3
462058,4
462060,3
462064,3
462068,3
462075,1
462078,2
462080,3
462081,4
462083,4
462084,2
462085,4
462088,2
462090,2
462091,4
462102,2
462103,2
462109,4
462111,3
462114,4
462116,3
462118,4
462120,1
462128,3
462131,1
462141,2
462149,4
462151,3
462163,3
462168,1
462171,4
462172,4
462174,4
462179,3
462180,2
462186,4
462187,3
462188,2
462196,2
462197,1
462200,2
462202,1
462203,1
462204,4
462205,4
462209,4
462210,2
462211,4
462214,4
462216,1
462218,2
462220,4
462222,4
462231,2
462232,1
462240,2
462243,1
462246,2
462249,1
462256,2
462260,1
462274,3
462275,3
462278,4
462279,1
462280,4
462281,2
462284,3
462286,2
462290,1
462297,2
462300,3
462304,2
462306,1
462310,3
462323,2
462336,1
462339,1
462340,2
462342,3
462345,3
462346,4
462349,3
462356,1
462358,1
462365,2
462368,3
462370,2
462381,1
462382,3
462386,4
462389,2
462395,2
462397,3
462400,1
462401,4
462409,1
462411,1
462415,1
462420,2
462421,2
462423,2
462424,3
462428,3
462429,1
462445,4
462446,4
462447,4
462451,4
462454,4
462456,4
462457,4
462463,3
462472,2
462485,1
462488,4
462491,1
462492,2
462496,3
462498,2
462503,3
462508,4
462517,1
462518,2
462519,4
462521,4
462522,4
462525,3
462526,3
462529,2
462533,1
462538,2
462541,2
462542,3
462543,1
462545,4
462554,4
462561,3
462563,3
462577,4
462578,2
462580,2
462584,4
462587,2
462589,4
462595,1
462600,4
462609,4
462611,1
462613,2
462615,4
462617,4
462625,3
462626,4
462654,1
462668,3
462678,3
462683,2
462687,1
462696,2
462702,1
462704,3
462705,2
462716,4
462723,2
462727,1
462729,4
462731,3
462735,1
462736,1
462739,2
462743,4
462746,4
462747,4
462756,4
462761,4
462762,2
462767,4
462768,3
462776,3
462788,3
462804,1
462810,3
462814,3
462817,2
462819,3
462824,1
462826,4
462827,4
462834,4
462838,2
462841,4
462845,3
462849,1
462850,4
462853,4
462854,4
462858,4
462861,4
462866,2
462868,2
462869,1
462871,3
462872,4
462874,3
462887,1
462890,4
462891,3
462894,3
462900,3
462905,3
462914,1
462920,2
462923,4
462927,4
462944,3
462951,4
462956,2
462958,4
462963,1
462966,3
462968,2
462971,3
462976,3
462981,4
462982,1
462983,3
462984,3
462986,4
462998,1
463003,3
463020,4
463023,4
463028,1
463030,2
463034,4
463037,3
463039,2
463040,1
463051,4
463052,4
463069,1
463075,3
463080,4
463083,3
463085,1
463088,2
463089,3
463090,2
463091,4
463094,1
463100,4
463102,1
463104,1
463106,3
463108,1
463120,1
463133,3
463144,3
463145,2
463146,1
463148,3
463149,3
463150,4
463151,2
463154,1
463157,1
463158,3
463163,4
463164,3
463165,3
463166,4
463171,1
463173,2
463174,2
463181,3
463187,3
463195,4
463196,1
463199,3
463201,4
463203,4
463204,1
463209,4
463218,1
463219,1
463220,3
463224,3
463240,1
463242,1
463244,2
463245,2
463248,4
463251,4
463256,4
463258,3
463260,4
463265,2
463267,1
463269,3
463273,2
463277,1
463278,2
463280,3
463292,3
463308,1
463316,2
463323,4
463324,4
463330,4
463332,2
463334,4
463338,4
463340,4
463341,1
463348,2
463356,4
463360,2
463367,2
463368,3
463375,2
463376,3
463378,1
463379,4
463386,1
463391,2
463406,3
463409,2
463420,3
463423,2
463427,4
463428,4
463437,3
463438,3
463443,2
463447,2
463452,3
463462,1
463475,2
463477,4
463483,4
463491,1
463499,1
463500,1
463503,1
463508,1
463509,4
463512,3
463516,3
463527,1
463533,3
463537,4
463545,4
463548,4
463550,3
463553,1
463554,3
463557,4
463560,4
463561,1
463572,2
463577,3
463586,4
463588,4
463598,4
463603,4
463605,4
463606,3
463614,3
463616,2
463619,1
463620,4
463623,3
463624,2
463628,2
463632,3
463638,2
463639,3
463640,4
463644,4
463654,4
463655,1
463661,3
463664,1
463665,3
463669,1
463699,2
463703,2
463704,1
463707,4
463713,4
463716,4
463718,1
463722,3
463724,4
463726,1
463727,1
463728,2
463732,4
463734,2
463741,3
463745,2
463747,3
463748,4
463753,4
463756,2
463761,1
463764,3
463767,2
463768,1
463774,1
463776,3
463782,1
463784,1
463785,2
463790,4
463799,2
463800,4
463804,2
463807,1
463811,1
463814,4
463816,3
463818,1
463821,1
463827,2
463828,4
463830,4
463834,2
463835,4
463842,2
463847,3
463856,3
463857,2
463859,3
463865,2
463877,4
463880,2
463884,1
463891,2
463892,1
463904,2
463917,4
463923,4
463924,2
463926,1
463931,1
463932,3
463941,1
463943,3
463946,4
463948,2
463951,2
463955,1
463958,3
463961,1
463963,4
463966,1
463978,3
463980,1
463983,1
463986,1
463997,2
464000,3
464004,4
464007,3
464009,3
464010,3
464013,4
464019,4
464021,4
464023,4
464030,4
464031,4
464032,4
464033,4
464039,2
464042,3
464046,4
464048,2
464049,4
464053,2
464054,2
464059,2
464063,1
464066,1
464067,1
464068,1
464071,1
464072,1
464076,1
464084,3
464096,3
464099,1
464103,3
464110,3
464112,1
464115,4
464118,1
464121,2
464123,1
464127,2
464132,1
464137,3
464139,4
464144,3
464152,1
464167,3
464172,2
464173,3
464176,4
464179,3
464180,1
464182,3
464183,1
464185,1
464195,1
464200,4
464202,3
464204,3
464205,2
464206,1
464211,1
464212,3
464217,1
464223,3
464226,3
464231,3
464232,4
464246,3
464254,3
464255,3
464265,1
464270,3
464271,3
464274,3
464276,3
464283,1
464286,3
464289,1
464292,3
464297,1
464298,4
464308,2
464318,4
464320,1
464326,2
464332,3
464339,4
464344,2
464351,4
464364,3
464368,2
464370,3
464373,2
464378,3
464381,3
464382,3
464386,2
464387,2
464389,3
464396,2
464412,4
464424,4
464425,1
464432,4
464436,1
464437,2
464441,1
464451,2
464456,1
464468,3
464473,3
464474,2
464478,1
464481,2
464482,3
464483,3
464485,2
464487,1
464488,3
464494,3
464499,2
464501,2
464504,4
464506,4
464522,1
464526,3
464528,2
464536,1
464540,2
464544,2
464549,3
464552,3
464553,1
464555,4
464560,1
464561,1
464566,2
464569,4
464570,1
464572,4
464576,4
464577,4
464580,1
464586,2
464593,2
464594,4
464597,2
464601,4
464603,2
464606,2
464607,3
464608,3
464620,1
464621,3
464641,4
464652,1
464654,2
464664,2
464666,4
464670,2
464673,4
464674,2
464675,4
464677,4
464683,2
464684,1
464685,4
464688,4
464691,2
464692,4
464693,1
464695,4
464696,1
464697,3
464699,4
464701,4
464704,2
464711,2
464712,3
464726,1
464728,2
464732,2
464737,1
464739,2
464746,4
464755,2
464756,1
464758,2
464760,2
464765,1
464766,4
464772,1
464774,2
464780,4
464792,4
464799,4
464802,4
464804,1
464806,1
464812,2
464813,3
464817,1
464825,4
464827,2
464828,4
464831,4
464835,4
464845,1
464849,3
464851,4
464852,4
464854,1
464857,4
464864,4
464865,1
464868,1
464872,1
464873,3
464879,1
464884,2
464885,1
464886,2
464902,4
464910,3
464911,2
464919,1
464920,1
464921,1
464927,3
464932,4
464938,1
464939,4
464940,1
464944,2
464947,4
464957,4
464960,4
464961,4
464963,2
464972,1
464981,2
464987,2
464990,3
464991,1
464995,2
465001,2
465005,3
465012,2
465014,1
465022,3
465023,2
465026,4
465032,3
465035,3
465038,2
465039,1
465040,1
465045,2
465056,1
465069,3
465076,3
465079,1
465082,4
465087,3
465092,3
465093,3
465095,3
465099,2
465100,3
465101,3
465105,3
465111,3
465112,1
465113,3
465119,3
465120,3
465121,2
465122,3
465124,1
465128,3
465134,2
465136,3
465144,1
465147,4
465150,1
465153,3
465155,4
465160,3
465164,4
465171,3
465172,3
465175,4
465176,2
465181,4
465182,4
465186,3
465187,2
465188,3
465189,2
465194,4
465196,4
465197,3
465201,3
465202,4
465203,4
465204,1
465213,2
465214,4
465216,3
465226,1
465228,3
465231,3
465236,3
465242,4
465249,4
465254,4
465261,4
465264,4
465267,4
465274,2
465285,1
465288,4
465289,1
465290,3
465294,4
465296,1
465303,3
465306,2
465310,4
465319,4
465333,3
465335,3
465340,4
465342,3
465344,2
465351,3
465352,3
465354,3
465357,3
465358,3
465359,3
465364,2
465366,2
465371,1
465372,1
465383,1
465384,2
465391,3
465393,3
465395,4
465399,1
465410,4
465419,4
465423,3
465428,1
465435,1
465437,2
465440,4
465441,1
465445,2
465458,3
465461,3
465471,2
465473,2
465477,1
465479,4
465482,1
465483,2
465484,3
465488,4
465489,1
465492,1
465505,3
465507,1
465508,4
465510,2
465518,2
465520,3
465521,3
465522,2
465529,4
465539,3
465541,3
465543,3
465550,4
465554,1
465558,1
465568,3
465569,3
465571,1
465577,4
465584,2
465586,3
465594,4
465598,4
465600,2
465602,1
465605,2
465611,3
465612,2
465616,3
465621,4
465625,3
465627,1
465629,3
465635,4
465640,3
465644,3
465645,2
465649,4
465651,4
465653,3
465655,2
465658,3
465663,2
465667,4
465668,4
465669,1
465670,4
465675,1
465680,4
465685,4
465689,4
465697,3
465703,4
465704,2
465705,3
465706,3
465721,4
465725,4
465727,4
465733,1
465734,1
465736,2
465737,4
465740,1
465742,3
465751,2
465753,3
465766,1
465768,4
465769,4
465772,2
465775,4
465776,4
465777,1
465784,4
465788,4
465793,2
465797,3
465804,1
465809,2
465811,4
465813,4
465818,4
465823,2
465826,4
465828,4
465829,1
465831,2
465841,1
465848,4
465849,1
465851,2
465857,1
465863,3
465865,4
465866,1
465867,2
465873,4
465875,1
465884,2
465893,3
465894,4
465916,1
465923,4
465925,4
465927,4
465930,3
465931,4
465935,1
465937,4
465941,4
465948,3
465953,2
465957,4
465960,4
465961,1
465963,3
465965,1
465972,2
465974,2
465975,2
465976,1
465979,2
465982,2
465996,4
465997,4
466001,2
466007,2
466017,2
466019,3
466020,4
466024,4
466042,1
466043,3
466046,4
466071,2
466079,1
466082,4
466083,4
466084,1
466088,2
466092,3
466099,2
466103,1
466109,2
466111,2
466114,3
466115,1
466118,1
466124,2
466128,1
466130,4
466132,4
466136,4
466138,2
466140,1
466141,3
466142,1
466146,1
466148,2
466149,1
466153,3
466154,3
466156,1
466162,2
466166,2
466172,3
466178,3
466180,4
466185,3
466200,2
466201,3
466206,3
466207,3
466208,3
466210,3
466213,4
466223,2
466225,4
466226,3
466233,3
466235,3
466236,2
466238,4
466246,4
466253,4
466257,3
466268,3
466271,4
466276,4
466285,4
466286,3
466287,1
466289,4
466292,2
466297,4
466300,3
466301,3
466306,4
466313,2
466315,1
466317,2
466318,4
466320,2
466321,3
466324,1
466326,4
466335,3
466337,1
466341,3
466347,2
466352,2
466355,3
466367,2
466372,3
466373,2
466376,2
466380,1
466381,2
466382,2
466387,2
466389,3
466393,1
466395,1
466397,4
466400,2
466401,1
466402,3
466404,1
466406,1
466408,1
466411,3
466414,1
466418,1
466419,2
466422,1
466427,4
466429,1
466443,2
466450,4
466455,4
466456,1
466463,4
466464,3
466467,2
466468,4
466474,1
466478,3
466486,2
466488,3
466490,2
466493,1
466500,2
466501,1
466502,4
466516,4
466526,2
466527,4
466533,1
466535,1
466536,4
466538,2
466541,1
466543,4
466545,4
466552,1
466553,4
466556,4
466562,4
466564,4
466565,2
466576,4
466586,4
466588,4
466596,3
466603,2
466606,1
466613,4
466631,3
466634,4
466635,3
466650,4
466652,3
466655,3
466656,3
466658,4
466665,3
466666,1
466686,4
466687,4
466688,4
466689,1
466696,3
466704,3
466705,3
466707,2
466713,3
466720,4
466721,1
466725,2
466731,1
466732,2
466746,3
466752,4
466753,3
466754,3
466760,2
466765,3
466769,3
466775,3
466776,2
466777,3
466778,1
466788,4
466790,1
466791,4
466792,3
466799,4
466808,1
466810,4
466814,4
466815,3
466816,4
466818,4
466826,4
466832,3
466833,2
466846,4
466863,4
466867,4
466874,2
466884,1
466886,4
466891,1
466905,2
466906,1
466908,1
466909,2
466910,1
466918,3
466920,4
466923,4
466927,4
466936,3
466938,2
466939,2
466951,3
466954,2
466955,1
466956,2
466961,3
466966,2
466967,2
466970,1
466971,4
466975,3
466990,2
466996,2
466999,3
467000,1
467008,3
467009,4
467022,1
467023,1
467025,4
467044,4
467046,4
467050,3
467053,4
467058,2
467060,4
467063,3
467073,1
467079,3
467084,1
467085,1
467088,2
467092,4
467093,2
467098,4
467099,2
467107,2
467111,1
467112,2
467114,3
467116,3
467119,2
467125,2
467132,2
467136,2
467137,4
467138,4
467139,3
467143,4
467144,2
467146,4
467147,1
467157,2
467159,1
467168,3
467180,4
467183,2
467185,1
467189,3
467193,1
467202,1
467212,2
467216,1
467218,2
467223,2
467227,1
467230,4
467232,1
467233,2
467235,2
467238,4
467239,2
467241,1
467242,1
467247,4
467256,3
467260,3
467281,2
467283,3
467300,3
467301,1
467303,1
467309,1
467311,3
467312,2
467313,1
467314,2
467317,1
467322,3
467325,2
467329,1
467338,4
467344,2
467345,2
467346,3
467352,2
467355,4
467358,3
467359,2
467365,2
467367,1
467369,1
467375,1
467378,3
467393,3
467398,2
467399,4
467403,2
467410,4
467415,4
467419,4
467421,2
467422,3
467423,4
467434,2
467437,3
467438,4
467445,1
467449,3
467451,1
467455,2
467456,3
467457,4
467463,3
467472,4
467474,4
467479,2
467481,3
467482,3
467487,2
467492,2
467500,3
467503,3
467505,3
467510,2
467532,2
467533,1
467540,3
467542,4
467559,3
467565,3
467576,3
467579,4
467588,3
467589,1
467592,1
467595,4
467596,3
467604,4
467608,4
467609,1
467610,2
467614,3
467620,3
467621,1
467629,1
467635,2
467641,2
467643,2
467657,4
467658,4
467659,3
467664,3
467666,3
467667,1
467669,1
467673,2
467678,4
467683,4
467684,4
467685,1
467693,2
467694,3
467699,1
467707,1
467710,3
467715,3
467721,1
467723,4
467726,4
467727,1
467728,2
467729,3
467733,3
467734,1
467735,4
467737,2
467739,3
467740,4
467741,4
467749,4
467763,2
467767,4
467768,3
467769,2
467772,4
467779,3
467789,4
467802,2
467803,2
467806,3
467808,3
467812,2
467813,1
467815,3
467825,4
467828,3
467838,1
467848,2
467849,1
467852,2
467856,2
467860,2
467864,3
467865,2
467868,2
467876,3
467880,3
467882,1
467883,3
467888,4
467891,4
467892,4
467894,3
467895,1
467898,2
467901,3
467904,1
467905,2
467911,4
467913,2
467915,4
467917,1
467927,4
467929,2
467930,3
467932,3
467933,4
467934,1
467938,1
467940,4
467946,3
467948,4
467949,4
467950,1
467954,4
467958,2
467961,3
467968,4
